Date,Origin Movement ID,Origin Display Name,Destination Movement ID,Destination Display Name,Daily Mean Travel Time (Seconds),Daily Range - Lower Bound Travel Time (Seconds),Daily Range - Upper Bound Travel Time (Seconds),AM Mean Travel Time (Seconds),AM Range - Lower Bound Travel Time (Seconds),AM Range - Upper Bound Travel Time (Seconds),PM Mean Travel Time (Seconds),PM Range - Lower Bound Travel Time (Seconds),PM Range - Upper Bound Travel Time (Seconds),Midday Mean Travel Time (Seconds),Midday Range - Lower Bound Travel Time (Seconds),Midday Range - Upper Bound Travel Time (Seconds),Evening Mean Travel Time (Seconds),Evening Range - Lower Bound Travel Time (Seconds),Evening Range - Upper Bound Travel Time (Seconds),Early Morning Mean Travel Time (Seconds),Early Morning Range - Lower Bound Travel Time (Seconds),Early Morning Range - Upper Bound Travel Time (Seconds)
12/23/2016,305,Census Tract 53.01,321,Census Tract 284.02,1806,1433,2276,1752,1381,2221,1968,1632,2373,2195,1816,2654,1930,1635,2277,1595,1336,1903
12/24/2016,305,Census Tract 53.01,321,Census Tract 284.02,1551,1285,1872,1515,1255,1828,,,,1447,1234,1698,1634,1333,2004,1577,1305,1907
12/25/2016,305,Census Tract 53.01,321,Census Tract 284.02,1547,1213,1974,1499,1210,1856,,,,1553,1259,1915,,,,1587,1196,2105
,,,,,,,,,,,,,,,,,,,,,,
,,,,,1634.666667,1310.333333,2040.666667,1588.666667,1282,1968.333333,1968,1632,2373,1731.666667,1436.333333,2089,1782,1484,2140.5,1586.333333,1279,1971.666667
