Date,Origin Movement ID,Origin Display Name,Destination Movement ID,Destination Display Name,Daily Mean Travel Time (Seconds),Daily Range - Lower Bound Travel Time (Seconds),Daily Range - Upper Bound Travel Time (Seconds),AM Mean Travel Time (Seconds),AM Range - Lower Bound Travel Time (Seconds),AM Range - Upper Bound Travel Time (Seconds),PM Mean Travel Time (Seconds),PM Range - Lower Bound Travel Time (Seconds),PM Range - Upper Bound Travel Time (Seconds),Midday Mean Travel Time (Seconds),Midday Range - Lower Bound Travel Time (Seconds),Midday Range - Upper Bound Travel Time (Seconds),Evening Mean Travel Time (Seconds),Evening Range - Lower Bound Travel Time (Seconds),Evening Range - Upper Bound Travel Time (Seconds),Early Morning Mean Travel Time (Seconds),Early Morning Range - Lower Bound Travel Time (Seconds),Early Morning Range - Upper Bound Travel Time (Seconds)
5/28/2016,305,Census Tract 53.01,321,Census Tract 284.02,1467,1248,1723,1409,1162,1708,,,,1517,1368,1681,,,,1475,1250,1740
5/29/2016,305,Census Tract 53.01,321,Census Tract 284.02,1422,1208,1674,1373,1225,1538,,,,1486,1249,1768,,,,,,
5/30/2016,305,Census Tract 53.01,321,Census Tract 284.02,1498,1258,1783,1417,1195,1681,,,,1629,1371,1936,,,,1394,1221,1592
,,,,,1462.333333,1238,1726.666667,1399.666667,1194,1642.333333,,,,1544,1329.333333,1795,,,,1434.5,1235.5,1666
