Date,Origin Movement ID,Origin Display Name,Destination Movement ID,Destination Display Name,Daily Mean Travel Time (Seconds),Daily Range - Lower Bound Travel Time (Seconds),Daily Range - Upper Bound Travel Time (Seconds),AM Mean Travel Time (Seconds),AM Range - Lower Bound Travel Time (Seconds),AM Range - Upper Bound Travel Time (Seconds),PM Mean Travel Time (Seconds),PM Range - Lower Bound Travel Time (Seconds),PM Range - Upper Bound Travel Time (Seconds),Midday Mean Travel Time (Seconds),Midday Range - Lower Bound Travel Time (Seconds),Midday Range - Upper Bound Travel Time (Seconds),Evening Mean Travel Time (Seconds),Evening Range - Lower Bound Travel Time (Seconds),Evening Range - Upper Bound Travel Time (Seconds),Early Morning Mean Travel Time (Seconds),Early Morning Range - Lower Bound Travel Time (Seconds),Early Morning Range - Upper Bound Travel Time (Seconds)
12/23/2017,305,Census Tract 53.01,321,Census Tract 284.02,1483,1256,1751,1415,1255,1594,1517,1309,1758,1528,1330,1754,1582,1380,1815,1440,1192,1739
12/24/2017,305,Census Tract 53.01,321,Census Tract 284.02,1516,1240,1855,1507,1276,1779,,,,1312,1203,1430,1694,1399,2051,1467,1198,1797
12/25/2017,305,Census Tract 53.01,321,Census Tract 284.02,1643,1269,2127,1654,1244,2198,,,,1544,1251,1906,1410,1191,1668,1732,1328,2258
,,,,,1547.333333,1255,1911,1525.333333,1258.333333,1857,1517,1309,1758,1461.333333,1261.333333,1696.666667,1562,1323.333333,1844.666667,1546.333333,1239.333333,1931.333333
