Date,Origin Movement ID,Origin Display Name,Destination Movement ID,Destination Display Name,Daily Mean Travel Time (Seconds),Daily Range - Lower Bound Travel Time (Seconds),Daily Range - Upper Bound Travel Time (Seconds),AM Mean Travel Time (Seconds),AM Range - Lower Bound Travel Time (Seconds),AM Range - Upper Bound Travel Time (Seconds),PM Mean Travel Time (Seconds),PM Range - Lower Bound Travel Time (Seconds),PM Range - Upper Bound Travel Time (Seconds),Midday Mean Travel Time (Seconds),Midday Range - Lower Bound Travel Time (Seconds),Midday Range - Upper Bound Travel Time (Seconds),Evening Mean Travel Time (Seconds),Evening Range - Lower Bound Travel Time (Seconds),Evening Range - Upper Bound Travel Time (Seconds),Early Morning Mean Travel Time (Seconds),Early Morning Range - Lower Bound Travel Time (Seconds),Early Morning Range - Upper Bound Travel Time (Seconds)
2/13/2016,305,Census Tract 53.01,321,Census Tract 284.02,1473,1210,1793,1310,1159,1480,,,,1681,1345,2101,,,,1396,1185,1645
2/14/2016,305,Census Tract 53.01,321,Census Tract 284.02,1701,1351,2142,,,,,,,1697,1336,2155,,,,,,
2/15/2016,305,Census Tract 53.01,321,Census Tract 284.02,1618,1355,1932,1576,1261,1968,,,,1670,1458,1913,1474,1356,1602,1625,1305,2022
,,,,,1597.333333,1305.333333,1955.666667,1443,1210,1724,,,,1682.666667,1379.666667,2056.333333,1474,1356,1602,1510.5,1245,1833.5
