"Date","Origin Movement ID","Origin Display Name","Destination Movement ID","Destination Display Name","Daily Mean Travel Time (Seconds)","Daily Range - Lower Bound Travel Time (Seconds)","Daily Range - Upper Bound Travel Time (Seconds)","AM Mean Travel Time (Seconds)","AM Range - Lower Bound Travel Time (Seconds)","AM Range - Upper Bound Travel Time (Seconds)","PM Mean Travel Time (Seconds)","PM Range - Lower Bound Travel Time (Seconds)","PM Range - Upper Bound Travel Time (Seconds)","Midday Mean Travel Time (Seconds)","Midday Range - Lower Bound Travel Time (Seconds)","Midday Range - Upper Bound Travel Time (Seconds)","Evening Mean Travel Time (Seconds)","Evening Range - Lower Bound Travel Time (Seconds)","Evening Range - Upper Bound Travel Time (Seconds)","Early Morning Mean Travel Time (Seconds)","Early Morning Range - Lower Bound Travel Time (Seconds)","Early Morning Range - Upper Bound Travel Time (Seconds)"
"02/18/2018","305","Census Tract 53.01","321","Census Tract 284.02",1484,1198,1838,1273,1104,1467,,,,1504,1191,1898,1794,1561,2063,1450,1219,1725
"02/19/2018","305","Census Tract 53.01","321","Census Tract 284.02",1678,1259,2237,1512,1228,1862,2403,1471,3925,1692,1424,2010,1673,1409,1987,1368,1212,1544
"02/17/2018","305","Census Tract 53.01","321","Census Tract 284.02",1649,1286,2116,1561,1247,1955,1816,1546,2133,1627,1256,2107,,,,1523,1240,1870
