Date,Origin Movement ID,Origin Display Name,Destination Movement ID,Destination Display Name,Daily Mean Travel Time (Seconds),Daily Range - Lower Bound Travel Time (Seconds),Daily Range - Upper Bound Travel Time (Seconds),AM Mean Travel Time (Seconds),AM Range - Lower Bound Travel Time (Seconds),AM Range - Upper Bound Travel Time (Seconds),PM Mean Travel Time (Seconds),PM Range - Lower Bound Travel Time (Seconds),PM Range - Upper Bound Travel Time (Seconds),Midday Mean Travel Time (Seconds),Midday Range - Lower Bound Travel Time (Seconds),Midday Range - Upper Bound Travel Time (Seconds),Evening Mean Travel Time (Seconds),Evening Range - Lower Bound Travel Time (Seconds),Evening Range - Upper Bound Travel Time (Seconds),Early Morning Mean Travel Time (Seconds),Early Morning Range - Lower Bound Travel Time (Seconds),Early Morning Range - Upper Bound Travel Time (Seconds)
9/2/2017,305,Census Tract 53.01,321,Census Tract 284.02,1465,1271,1689,1420,1186,1700,,,,1468,1306,1650,,,,1507,1298,1750
9/3/2017,305,Census Tract 53.01,321,Census Tract 284.02,1435,1179,1747,1384,1222,1567,1343,1183,1523,1618,1221,2143,1520,1231,1875,1350,1154,1580
9/4/2017,305,Census Tract 53.01,321,Census Tract 284.02,1499,1221,1840,1502,1260,1791,,,,1596,1268,2008,1632,1288,2067,1393,1157,1676
,,,,,1466.333333,1223.666667,1758.666667,1435.333333,1222.666667,1686,1343,1183,1523,1560.666667,1265,1933.666667,1576,1259.5,1971,1416.666667,1203,1668.666667
