Date,Origin Movement ID,Origin Display Name,Destination Movement ID,Destination Display Name,Daily Mean Travel Time (Seconds),Daily Range - Lower Bound Travel Time (Seconds),Daily Range - Upper Bound Travel Time (Seconds),AM Mean Travel Time (Seconds),AM Range - Lower Bound Travel Time (Seconds),AM Range - Upper Bound Travel Time (Seconds),PM Mean Travel Time (Seconds),PM Range - Lower Bound Travel Time (Seconds),PM Range - Upper Bound Travel Time (Seconds),Midday Mean Travel Time (Seconds),Midday Range - Lower Bound Travel Time (Seconds),Midday Range - Upper Bound Travel Time (Seconds),Evening Mean Travel Time (Seconds),Evening Range - Lower Bound Travel Time (Seconds),Evening Range - Upper Bound Travel Time (Seconds),Early Morning Mean Travel Time (Seconds),Early Morning Range - Lower Bound Travel Time (Seconds),Early Morning Range - Upper Bound Travel Time (Seconds)
5/27/2017,305,Census Tract 53.01,321,Census Tract 284.02,1514,1233,1859,1333,1248,1423,,,,1933,1400,2668,,,,1469,1261,1710
5/28/2017,305,Census Tract 53.01,321,Census Tract 284.02,1471,1194,1811,1618,1232,2123,1419,1182,1703,1421,1274,1584,,,,1403,1120,1759
5/29/2017,305,Census Tract 53.01,321,Census Tract 284.02,1452,1242,1697,1391,1275,1517,1449,1317,1593,1466,1287,1669,1626,1293,2044,1394,1167,1665
,,,,,1479,1223,1789,1447.333333,1251.666667,1687.666667,1434,1249.5,1648,1606.666667,1320.333333,1973.666667,1626,1293,2044,1422,1182.666667,1711.333333
