Date,Origin Movement ID,Origin Display Name,Destination Movement ID,Destination Display Name,Daily Mean Travel Time (Seconds),Daily Range - Lower Bound Travel Time (Seconds),Daily Range - Upper Bound Travel Time (Seconds),AM Mean Travel Time (Seconds),AM Range - Lower Bound Travel Time (Seconds),AM Range - Upper Bound Travel Time (Seconds),PM Mean Travel Time (Seconds),PM Range - Lower Bound Travel Time (Seconds),PM Range - Upper Bound Travel Time (Seconds),Midday Mean Travel Time (Seconds),Midday Range - Lower Bound Travel Time (Seconds),Midday Range - Upper Bound Travel Time (Seconds),Evening Mean Travel Time (Seconds),Evening Range - Lower Bound Travel Time (Seconds),Evening Range - Upper Bound Travel Time (Seconds),Early Morning Mean Travel Time (Seconds),Early Morning Range - Lower Bound Travel Time (Seconds),Early Morning Range - Upper Bound Travel Time (Seconds)
12/30/2016,305,Census Tract 53.01,321,Census Tract 284.02,1670,1321,2110,1426,1200,1694,,,,1660,1405,1960,1749,1389,2201,1554,1449,1667
12/31/2016,305,Census Tract 53.01,321,Census Tract 284.02,1470,1267,1704,,,,,,,1230,1171,1291,,,,1579,1357,1837
1/1/2017,305,Census Tract 53.01,321,Census Tract 284.02,1662,1263,2187,1520,1277,1810,,,,1428,1297,1571,,,,2061,1389,3057
,,,,,1600.666667,1283.666667,2000.333333,1473,1238.5,1752,,,,1439.333333,1291,1607.333333,1749,1389,2201,1731.333333,1398.333333,2187
