Date,Origin Movement ID,Origin Display Name,Destination Movement ID,Destination Display Name,Daily Mean Travel Time (Seconds),Daily Range - Lower Bound Travel Time (Seconds),Daily Range - Upper Bound Travel Time (Seconds),AM Mean Travel Time (Seconds),AM Range - Lower Bound Travel Time (Seconds),AM Range - Upper Bound Travel Time (Seconds),PM Mean Travel Time (Seconds),PM Range - Lower Bound Travel Time (Seconds),PM Range - Upper Bound Travel Time (Seconds),Midday Mean Travel Time (Seconds),Midday Range - Lower Bound Travel Time (Seconds),Midday Range - Upper Bound Travel Time (Seconds),Evening Mean Travel Time (Seconds),Evening Range - Lower Bound Travel Time (Seconds),Evening Range - Upper Bound Travel Time (Seconds),Early Morning Mean Travel Time (Seconds),Early Morning Range - Lower Bound Travel Time (Seconds),Early Morning Range - Upper Bound Travel Time (Seconds)
7/2/2017,305,Census Tract 53.01,321,Census Tract 284.02,1485,1253,1759,1496,1228,1823,,,,1493,1294,1723,1598,1400,1823,1448,1209,1735
7/3/2017,305,Census Tract 53.01,321,Census Tract 284.02,1554,1200,2012,1381,958,1991,,,,1583,1390,1802,,,,1478,1202,1819
7/4/2017,305,Census Tract 53.01,321,Census Tract 284.02,1457,1250,1700,1577,1305,1906,1529,1345,1738,1446,1282,1631,,,,1337,1193,1497
,,,,,1498.666667,1234.333333,1823.666667,1484.666667,1163.666667,1906.666667,1529,1345,1738,1507.333333,1322,1718.666667,1598,1400,1823,1421,1201.333333,1683.666667
