Date,Origin Movement ID,Origin Display Name,Destination Movement ID,Destination Display Name,Daily Mean Travel Time (Seconds),Daily Range - Lower Bound Travel Time (Seconds),Daily Range - Upper Bound Travel Time (Seconds),AM Mean Travel Time (Seconds),AM Range - Lower Bound Travel Time (Seconds),AM Range - Upper Bound Travel Time (Seconds),PM Mean Travel Time (Seconds),PM Range - Lower Bound Travel Time (Seconds),PM Range - Upper Bound Travel Time (Seconds),Midday Mean Travel Time (Seconds),Midday Range - Lower Bound Travel Time (Seconds),Midday Range - Upper Bound Travel Time (Seconds),Evening Mean Travel Time (Seconds),Evening Range - Lower Bound Travel Time (Seconds),Evening Range - Upper Bound Travel Time (Seconds),Early Morning Mean Travel Time (Seconds),Early Morning Range - Lower Bound Travel Time (Seconds),Early Morning Range - Upper Bound Travel Time (Seconds)
11/11/2016,305,Census Tract 53.01,321,Census Tract 284.02,1684,1316,2155,1391,1249,1549,2091,1894,2309,1916,1473,2493,,,,1365,1229,1517
11/9/2016,305,Census Tract 53.01,321,Census Tract 284.02,1837,1422,2372,2036,1651,2510,2376,1945,2903,1723,1377,2156,,,,1608,1305,1982
11/10/2016,305,Census Tract 53.01,321,Census Tract 284.02,1869,1457,2396,1676,1389,2022,,,,1952,1551,2455,1917,1639,2241,1496,1263,1772
,,,,,1796.666667,1398.333333,2307.666667,1701,1429.666667,2027,2233.5,1919.5,2606,1863.666667,1467,2368,1917,1639,2241,1489.666667,1265.666667,1757
