Date,Origin Movement ID,Origin Display Name,Destination Movement ID,Destination Display Name,Daily Mean Travel Time (Seconds),Daily Range - Lower Bound Travel Time (Seconds),Daily Range - Upper Bound Travel Time (Seconds),AM Mean Travel Time (Seconds),AM Range - Lower Bound Travel Time (Seconds),AM Range - Upper Bound Travel Time (Seconds),PM Mean Travel Time (Seconds),PM Range - Lower Bound Travel Time (Seconds),PM Range - Upper Bound Travel Time (Seconds),Midday Mean Travel Time (Seconds),Midday Range - Lower Bound Travel Time (Seconds),Midday Range - Upper Bound Travel Time (Seconds),Evening Mean Travel Time (Seconds),Evening Range - Lower Bound Travel Time (Seconds),Evening Range - Upper Bound Travel Time (Seconds),Early Morning Mean Travel Time (Seconds),Early Morning Range - Lower Bound Travel Time (Seconds),Early Morning Range - Upper Bound Travel Time (Seconds)
9/3/2016,305,Census Tract 53.01,321,Census Tract 284.02,1562,1265,1928,1757,1379,2238,,,,1515,1248,1839,1554,1319,1831,1440,1214,1708
9/4/2016,305,Census Tract 53.01,321,Census Tract 284.02,1383,1227,1559,1347,1219,1488,,,,1448,1268,1654,1375,1245,1519,1350,1198,1522
9/5/2016,305,Census Tract 53.01,321,Census Tract 284.02,1542,1244,1912,1345,1195,1514,1803,1307,2486,1649,1350,2012,,,,1515,1246,1840
,,,,,1495.666667,1245.333333,1799.666667,1483,1264.333333,1746.666667,1803,1307,2486,1537.333333,1288.666667,1835,1464.5,1282,1675,1435,1219.333333,1690
