Date,Origin Movement ID,Origin Display Name,Destination Movement ID,Destination Display Name,Daily Mean Travel Time (Seconds),Daily Range - Lower Bound Travel Time (Seconds),Daily Range - Upper Bound Travel Time (Seconds),AM Mean Travel Time (Seconds),AM Range - Lower Bound Travel Time (Seconds),AM Range - Upper Bound Travel Time (Seconds),PM Mean Travel Time (Seconds),PM Range - Lower Bound Travel Time (Seconds),PM Range - Upper Bound Travel Time (Seconds),Midday Mean Travel Time (Seconds),Midday Range - Lower Bound Travel Time (Seconds),Midday Range - Upper Bound Travel Time (Seconds),Evening Mean Travel Time (Seconds),Evening Range - Lower Bound Travel Time (Seconds),Evening Range - Upper Bound Travel Time (Seconds),Early Morning Mean Travel Time (Seconds),Early Morning Range - Lower Bound Travel Time (Seconds),Early Morning Range - Upper Bound Travel Time (Seconds)
7/2/2016,305,Census Tract 53.01,321,Census Tract 284.02,1537,1315,1798,1589,1398,1805,,,,1614,1350,1929,,,,1468,1248,1727
7/3/2016,305,Census Tract 53.01,321,Census Tract 284.02,1500,1267,1776,1584,1335,1880,,,,1570,1389,1776,,,,1413,1186,1684
7/4/2016,305,Census Tract 53.01,321,Census Tract 284.02,1439,1240,1670,1489,1284,1727,,,,1493,1327,1680,1377,1247,1521,1404,1181,1669
,,,,,1492,1274,1748,1554,1339,1804,,,,1559,1355.333333,1795,1377,1247,1521,1428.333333,1205,1693.333333
