Date,Origin Movement ID,Origin Display Name,Destination Movement ID,Destination Display Name,Daily Mean Travel Time (Seconds),Daily Range - Lower Bound Travel Time (Seconds),Daily Range - Upper Bound Travel Time (Seconds),AM Mean Travel Time (Seconds),AM Range - Lower Bound Travel Time (Seconds),AM Range - Upper Bound Travel Time (Seconds),PM Mean Travel Time (Seconds),PM Range - Lower Bound Travel Time (Seconds),PM Range - Upper Bound Travel Time (Seconds),Midday Mean Travel Time (Seconds),Midday Range - Lower Bound Travel Time (Seconds),Midday Range - Upper Bound Travel Time (Seconds),Evening Mean Travel Time (Seconds),Evening Range - Lower Bound Travel Time (Seconds),Evening Range - Upper Bound Travel Time (Seconds),Early Morning Mean Travel Time (Seconds),Early Morning Range - Lower Bound Travel Time (Seconds),Early Morning Range - Upper Bound Travel Time (Seconds)
1/14/2017,305,Census Tract 53.01,321,Census Tract 284.02,1528,1264,1846,1479,1227,1783,,,,1637,1395,1920,,,,1486,1224,1804
1/15/2017,305,Census Tract 53.01,321,Census Tract 284.02,1691,1264,2264,1434,1207,1705,,,,1984,1315,2992,,,,1490,1288,1723
1/16/2017,305,Census Tract 53.01,321,Census Tract 284.02,1558,1265,1919,1476,1226,1778,,,,1697,1323,2179,1452,1324,1592,1486,1258,1756
,,,,,1592.333333,1264.333333,2009.666667,1463,1220,1755.333333,,,,1772.666667,1344.333333,2363.666667,1452,1324,1592,1487.333333,1256.666667,1761
