Date,Origin Movement ID,Origin Display Name,Destination Movement ID,Destination Display Name,Daily Mean Travel Time (Seconds),Daily Range - Lower Bound Travel Time (Seconds),Daily Range - Upper Bound Travel Time (Seconds),AM Mean Travel Time (Seconds),AM Range - Lower Bound Travel Time (Seconds),AM Range - Upper Bound Travel Time (Seconds),PM Mean Travel Time (Seconds),PM Range - Lower Bound Travel Time (Seconds),PM Range - Upper Bound Travel Time (Seconds),Midday Mean Travel Time (Seconds),Midday Range - Lower Bound Travel Time (Seconds),Midday Range - Upper Bound Travel Time (Seconds),Evening Mean Travel Time (Seconds),Evening Range - Lower Bound Travel Time (Seconds),Evening Range - Upper Bound Travel Time (Seconds),Early Morning Mean Travel Time (Seconds),Early Morning Range - Lower Bound Travel Time (Seconds),Early Morning Range - Upper Bound Travel Time (Seconds)
2/18/2017,305,Census Tract 53.01,321,Census Tract 284.02,1512,1244,1837,1421,1153,1751,,,,1707,1392,2095,,,,1423,1240,1634
2/19/2017,305,Census Tract 53.01,321,Census Tract 284.02,1562,1257,1941,1401,1162,1689,1697,1570,1833,1571,1238,1994,,,,1613,1284,2025
2/20/2017,305,Census Tract 53.01,321,Census Tract 284.02,1659,1338,2056,1386,1287,1492,1966,1575,2454,1716,1410,2088,,,,1604,1305,1972
,,,,,1577.666667,1279.666667,1944.666667,1402.666667,1200.666667,1644,1831.5,1572.5,2143.5,1664.666667,1346.666667,2059,,,,1546.666667,1276.333333,1877
