Date,Origin Movement ID,Origin Display Name,Destination Movement ID,Destination Display Name,Daily Mean Travel Time (Seconds),Daily Range - Lower Bound Travel Time (Seconds),Daily Range - Upper Bound Travel Time (Seconds),AM Mean Travel Time (Seconds),AM Range - Lower Bound Travel Time (Seconds),AM Range - Upper Bound Travel Time (Seconds),PM Mean Travel Time (Seconds),PM Range - Lower Bound Travel Time (Seconds),PM Range - Upper Bound Travel Time (Seconds),Midday Mean Travel Time (Seconds),Midday Range - Lower Bound Travel Time (Seconds),Midday Range - Upper Bound Travel Time (Seconds),Evening Mean Travel Time (Seconds),Evening Range - Lower Bound Travel Time (Seconds),Evening Range - Upper Bound Travel Time (Seconds),Early Morning Mean Travel Time (Seconds),Early Morning Range - Lower Bound Travel Time (Seconds),Early Morning Range - Upper Bound Travel Time (Seconds)
1/16/2016,305,Census Tract 53.01,321,Census Tract 284.02,1488,1270,1743,1410,1282,1550,,,,1484,1322,1666,,,,1468,1312,1643
1/17/2016,305,Census Tract 53.01,321,Census Tract 284.02,1609,1300,1993,1472,1366,1586,,,,1684,1247,2274,1625,1400,1886,1646,1387,1953
1/18/2016,305,Census Tract 53.01,321,Census Tract 284.02,1580,1322,1888,1489,1186,1869,1768,1616,1935,1579,1361,1832,,,,1502,1264,1786
,,,,,1559,1297.333333,1874.666667,1457,1278,1668.333333,1768,1616,1935,1582.333333,1310,1924,1625,1400,1886,1538.666667,1321,1794
